eco_region,year,system:index,caAcreage,chunk,mxAcreage,totalAcreage,usAcreage,us_mill_acres,canada_mill_acres,mx_mill_acres,total_mill_acres
GREAT PLAINS,1996,0,302952953859.53217,0,17195929884.384865,1102169538846.884,782014625278.8413,193.24002240703197,74.86130527446095,4.249206816283555,272.35202449976816
GREAT PLAINS,1997,0,317704654726.0106,4,18354252856.923923,1159191245040.6504,823122544087.2297,203.3980103715243,78.50652994652343,4.535434656444748,286.44239496904373
GREAT PLAINS,1998,0,323141180263.26013,8,19804475153.017635,1198265943835.4722,855308767556.1954,211.35139940452729,79.84992466405816,4.893792390345698,296.097963326179
GREAT PLAINS,1999,0,325494013856.75995,12,20160120193.102966,1217985737546.3867,872314914458.6326,215.55370982463285,80.4313225070535,4.9816741936950075,300.9708304764583
GREAT PLAINS,2000,0,328877100146.6886,16,20350248865.046947,1236408987683.3926,887164380320.3499,219.2230927531523,81.26730133575843,5.028656011731433,305.5233147321279
GREAT PLAINS,2001,0,331159895415.77783,20,20735779284.10425,1249343958640.489,897430183345.0571,221.7598279271438,81.8313923318727,5.123922653056282,308.7196156666435
GREAT PLAINS,2002,0,333794584158.34625,24,21092086351.524864,1266480420943.017,911575332442.7727,225.25517039291762,82.48243809903842,5.211968046922916,312.9541277234187
GREAT PLAINS,2003,0,335872362711.87524,28,21534225251.934547,1279433375055.5715,922008072975.3473,227.83315672349633,82.99586836141698,5.321222948634918,316.1548723924264
GREAT PLAINS,2004,0,336802060388.6593,32,21924518756.805733,1291636755792.1716,932889948067.1865,230.522126620738,83.2256016606241,5.417666574097465,319.1703934463214
GREAT PLAINS,2005,0,337838969200.6538,36,22193942222.52416,1299456165017.962,939402999225.3455,232.13153661264448,83.48182740831062,5.484242562409505,321.10261154705404
GREAT PLAINS,2006,0,338796817445.20685,40,22553736824.046803,1308437324808.7935,947065976160.0505,234.02509945239186,83.71851686430892,5.573149744721311,323.3219044645012
GREAT PLAINS,2007,0,339330474532.74194,44,22695793837.448032,1314211475604.4797,952163756186.473,235.28478833120374,83.85038640257514,5.608252797228727,324.7487282003643
GREAT PLAINS,2008,0,339949199606.73047,48,23463139878.148396,1320571782510.4912,957137856096.3967,236.51391518763018,84.00327669809705,5.797868133445761,326.3203942655547
GREAT PLAINS,2009,0,340620077628.1651,52,23998561108.12098,1328469336690.7234,963822636037.9972,238.16576028610305,84.1690542675999,5.9301736008022194,328.2719224050759
GREAT PLAINS,2010,0,341840869566.15906,56,24210841685.341427,1334524100784.0684,968444224482.467,239.30777966233526,84.47071852530885,5.982629273845457,329.76808719694293
GREAT PLAINS,2011,0,342716028167.946,60,24344937896.261547,1341756344169.2546,974667038089.0249,240.84547039329476,84.68697492557592,6.015765169217826,331.5552134585626
GREAT PLAINS,2012,0,343585968874.95715,64,24436166694.43899,1350128383928.086,982077530174.6825,242.67664286806658,84.90194195596322,6.038308296205624,333.6239895380538
GREAT PLAINS,2013,0,344497653507.442,68,24589814590.217976,1362200606890.1108,993083913604.7803,245.3963794457477,85.12722413498474,6.076275518126233,336.6071008000108
GREAT PLAINS,2014,0,345405878140.0705,72,24858439940.87126,1376036512365.589,1005742642601.8197,248.5244195053057,85.35165132942139,6.14265428791053,340.0260275025001
GREAT PLAINS,2015,0,347910135783.8887,76,25097371466.835014,1385466808984.2612,1012429152705.4263,250.17669213612137,85.97046687015613,6.201695553813351,342.35630454718756
GREAT PLAINS,2016,0,350385976529.7952,80,25159517844.608597,1395280123117.2188,1019704392355.0677,251.9744430060772,86.58226044248815,6.2170522582090015,344.7812272809073
GREAT PLAINS,2017,0,350854517511.3656,84,25221538102.424347,1398401745026.1455,1022295404579.3314,252.6146960705197,86.69803944054075,6.232377797684344,345.5525968539663
GREAT PLAINS,2018,0,351570208501.0043,88,25625741336.370403,1410165556037.0674,1032937713138.8163,255.24446778836204,86.87489053565292,6.33225859205808,348.45949786305175
GREAT PLAINS,2019,0,354405138978.9283,92,25823921157.81405,1420198912553.0464,1039937784254.7614,256.9742230327908,87.57541711324868,6.38122989246405,350.93879425379913
GREAT PLAINS,2020,0,355970073353.05316,96,25939971183.7103,1425232588543.834,1043289945091.0958,257.8025600154838,87.96212081896721,6.4099064783994235,352.18264268042253
GREAT PLAINS,2021,0,356654848632.6957,100,25988823429.092533,1430862500528.7998,1048185376631.3396,259.0122474943995,88.13133247576292,6.421978131137287,353.5738242299191
NORTH AMERICAN DESERTS,1996,0,0.0,2,13375623711.269377,15896548952.92424,2520915883.098393,0.6229318813090959,0.0,3.3051886014946326,3.928122795353396
NORTH AMERICAN DESERTS,1997,0,0.0,6,14706361832.611578,17370084794.257477,2663712648.690266,0.6582177305638794,0.0,3.6340211527968114,4.292241431747528
NORTH AMERICAN DESERTS,1998,0,0.0,10,15529449050.670185,18330211872.05094,2800752213.9860263,0.6920809446424654,0.0,3.837410433916552,4.52949399970334
NORTH AMERICAN DESERTS,1999,0,0.0,14,16547128525.3092,19443839961.06916,2896700719.0605106,0.715790336604161,0.0,4.088884508857667,4.8046774936159355
NORTH AMERICAN DESERTS,2000,0,0.0,18,16776814638.097692,19748827683.767254,2972002268.0249996,0.7343977545971347,0.0,4.145641183409638,4.8800416012207455
NORTH AMERICAN DESERTS,2001,0,0.0,22,17093038728.710941,20102085996.023685,3009035447.1468663,0.7435488524564127,0.0,4.223781857996074,4.967333631279087
NORTH AMERICAN DESERTS,2002,0,0.0,26,17410669537.16601,20465331054.965176,3054649420.923012,0.7548203108532849,0.0,4.302270140131635,5.057093440188118
NORTH AMERICAN DESERTS,2003,0,0.0,30,18305546354.1348,21392893190.366436,3087334571.8862586,0.7628969875551597,0.0,4.523399017485972,5.286299035626876
NORTH AMERICAN DESERTS,2004,0,0.0,34,18950232360.243946,22112110913.475277,3161865365.6946034,0.7813139478011436,0.0,4.682704399046592,5.464021605559031
NORTH AMERICAN DESERTS,2005,0,0.0,38,19354459369.516087,22674214605.19336,3319741575.9167423,0.8203260089758119,0.0,4.782591068431354,5.6029204528075045
NORTH AMERICAN DESERTS,2006,0,0.0,42,19713004413.68183,23122238231.28245,3409219921.823297,0.8424365897872149,0.0,4.871189478395636,5.713629501904209
NORTH AMERICAN DESERTS,2007,0,0.0,46,20345106256.175903,23799732113.84504,3454610178.501541,0.8536527664852367,0.0,5.027385245403863,5.881041886295793
NORTH AMERICAN DESERTS,2008,0,0.0,50,20839900793.13529,24356416648.847305,3516500028.2442746,0.8689460814239302,0.0,5.149651638279592,6.018601630755978
