eco_region,year,system:index,caAcreage,chunk,mxAcreage,totalAcreage,usAcreage,us_mill_acres,canada_mill_acres,mx_mill_acres,total_mill_acres
GREAT PLAINS,1996,0,302952953855.855,0,17195929884.571823,1102169538837.9236,782014625273.4893,193.24002240570948,74.8613052735523,4.249206816329753,272.35202449755394
GREAT PLAINS,1997,0,298659997661.7325,4,17533445038.275352,1100163095430.6658,783961023660.5878,193.72098792192574,73.80049269495271,4.332608627186074,271.8562215337172
GREAT PLAINS,1998,0,298334996945.56635,8,17625342979.663155,1107253996298.09,791284407845.7406,195.53063556570177,73.72018326895974,4.355317103062222,273.6084212985471
GREAT PLAINS,1999,0,286162548421.59326,12,17251748587.025772,1092188261903.0231,788763028639.6743,194.90758919479387,70.7123057312701,4.262999918100818,269.88559725156324
GREAT PLAINS,2000,0,287218014535.4704,16,14980852094.71597,1084584757991.7454,782377721003.8695,193.3297453147274,70.97311708812006,3.7018491737633648,268.00673051596556
GREAT PLAINS,2001,0,285105791574.93756,20,14936744189.912857,1076532425292.2482,776485441478.9431,191.8737313341458,70.45117542740435,3.6909498731148105,266.01695577137576
GREAT PLAINS,2002,0,278904534562.1645,24,15937610663.474148,1061304201170.0669,766455149347.5249,189.39519216931467,68.91881144677836,3.9382693650085434,262.253979638365
GREAT PLAINS,2003,0,287366199057.992,28,15788703413.535807,1090110935828.2236,786950989347.7855,194.45982453407268,71.00973428110701,3.901473582187481,269.3722787991138
GREAT PLAINS,2004,0,274116440344.87827,32,15759665924.772394,1085176652714.7839,795295930503.272,196.52190440284312,67.73564759801343,3.8942982624454943,268.1529908873772
GREAT PLAINS,2005,0,269031152150.11908,36,15169736825.139729,1063524308602.6365,779318478342.0193,192.57378998932194,66.47904551803177,3.748523607155731,262.80258013271356
GREAT PLAINS,2006,0,278926322372.4183,40,15188325647.703917,1070854694148.23,776735691892.4935,191.93556955808515,68.92419533194564,3.753117005249204,264.6139578503331
GREAT PLAINS,2007,0,267122543459.03558,44,14698761591.558388,1072377113643.2136,790550805591.5215,195.34935850072026,66.00741803907032,3.6321430923310065,264.9901559006172
GREAT PLAINS,2008,0,258210448574.02884,48,15835807895.64066,1052200396962.6086,778149389780.0873,192.2849019140855,63.805191431533125,3.9131133532137166,260.00438062554457
GREAT PLAINS,2009,0,264367910282.3042,52,17083759620.498661,1051491677514.353,770027199855.9866,190.27786507335156,65.32673335672833,4.221488940420244,259.8292522358263
GREAT PLAINS,2010,0,269889427095.92798,56,16381136300.929197,1071220021424.5902,784936727492.8295,193.9620895897338,66.69112987604535,4.047866936907338,264.704232186372
GREAT PLAINS,2011,0,267184648571.86014,60,14094709569.021461,1063830927087.9172,782545940179.977,193.3713131784342,66.022764546675,3.482878586787485,262.8783472105287
GREAT PLAINS,2012,0,266316871533.607,64,12006024821.442192,1073449077515.2854,795121147767.227,196.47871464815324,65.80833217048183,2.96675334516617,265.2550439423016
GREAT PLAINS,2013,0,264789446699.49457,68,13239950147.958632,1064303797977.7944,786269789635.5114,194.291496419216,65.43089727396223,3.2716629338578387,262.99519615222584
GREAT PLAINS,2014,0,272471776482.45877,72,14913465371.473421,1096326022448.4631,808934814331.075,199.89214599589744,67.32924230666399,3.685197551800817,270.90806015017034
GREAT PLAINS,2015,0,278798842226.0937,76,14610425682.167587,1102715294977.7622,809301327813.47,199.98271344983124,68.89269430173994,3.6103148137307985,272.4868837767568
GREAT PLAINS,2016,0,282777339358.3687,80,12838545654.367037,1101654978320.9375,806032781198.5371,199.17503799122605,69.87580235385981,3.172473723287429,272.2248738246407
GREAT PLAINS,2017,0,279056228183.9162,84,12192408056.284237,1088578213115.8901,797323269682.1604,197.02287082430277,68.95629575706968,3.0128096455382116,268.9935347683746
GREAT PLAINS,2018,0,272382088280.518,88,13113615655.882004,1092525467574.102,807024363111.8984,199.42006321832844,67.30707986929716,3.240445000982269,269.9689225875975
GREAT PLAINS,2019,0,284982374946.75305,92,14164570781.485453,1112311703837.4224,813159656152.0603,200.93612714632962,70.42067851439934,3.500141668353396,274.8582080501443
GREAT PLAINS,2020,0,287387928030.7886,96,13782155860.394217,1093189903165.2308,792014864362.5813,195.71113530204792,71.01510362722198,3.4056448833423687,270.13310819790115
GREAT PLAINS,2021,0,281691871466.81604,100,12613269384.305094,1082498497037.2797,788187197380.9512,194.76529819186197,69.60757739628826,3.116806744605259,267.49120420666657
NORTH AMERICAN DESERTS,1996,0,0.0,2,13375623711.351952,15896548953.015968,2520915883.1075473,0.6229318813113579,0.0,3.3051886015150376,3.928122795376063
NORTH AMERICAN DESERTS,1997,0,0.0,6,13525148409.724895,15990576947.884214,2465418793.135325,0.6092182517153214,0.0,3.3421369591671586,3.9513576189303534
