index,coordinates,year,masked_ag,masked_urb,window_ag,cdl_ag,landcover,category,observer,landcover_code,strata,geometry,eco_region,strata_def,glad_ag
15466,"[-96.01404860761215, 37.01737198611939]",1996,0,0,0,-999.0,ag,410,sean,1,4.0000000001,POINT (-96.01404860761215 37.01737198611939),GREAT PLAINS,likely non-cropland,-999.0
12006,"[-113.1425854560327, 50.90146352288548]",1996,1,0,1,-999.0,ag,310,sean,1,3.0,POINT (-113.1425854560327 50.90146352288548),GREAT PLAINS,cropland loss,-999.0
12079,"[-111.50567534531012, 47.634111171485955]",1996,1,0,1,-999.0,ag,310,sean,1,3.0,POINT (-111.50567534531012 47.634111171485955),GREAT PLAINS,cropland loss,-999.0
18960,"[-97.3868540248036, 36.38971909710508]",1996,1,0,1,-999.0,ag,510,sean,1,5.0,POINT (-97.3868540248036 36.38971909710508),GREAT PLAINS,possible errors,-999.0
8498,"[-102.033210168855, 37.718327402317854]",1996,0,0,0,-999.0,ag,210,sean,1,2.0,POINT (-102.033210168855 37.718327402317854),GREAT PLAINS,cropland gain,-999.0
18809,"[-97.53318958458667, 40.263703759870516]",1996,1,0,1,-999.0,ag,510,sean,1,5.0,POINT (-97.53318958458667 40.263703759870516),GREAT PLAINS,possible errors,-999.0
18724,"[-102.53770403241653, 39.96025285689495]",1996,0,0,0,-999.0,ag,510,sean,1,5.0,POINT (-102.53770403241653 39.96025285689495),GREAT PLAINS,possible errors,-999.0
18907,"[-94.15480546406997, 42.52233787873223]",1996,0,0,0,-999.0,ur,510,sean,0,5.0,POINT (-94.15480546406997 42.52233787873223),GREAT PLAINS,possible errors,-999.0
18912,"[-110.11023238295886, 51.53261984150786]",1996,1,0,1,-999.0,ag,510,sean,1,5.0,POINT (-110.11023238295886 51.53261984150786),GREAT PLAINS,possible errors,-999.0
18850,"[-100.14809554513019, 39.82227162925418]",1996,0,0,0,-999.0,ag,510,sean,1,5.0,POINT (-100.14809554513019 39.82227162925418),GREAT PLAINS,possible errors,-999.0
8522,"[-95.2050258627341, 43.478235172563814]",1996,0,0,0,-999.0,na,210,sean,0,2.0,POINT (-95.2050258627341 43.478235172563814),GREAT PLAINS,cropland gain,-999.0
4832,"[-95.97793633319054, 40.38066440986288]",1996,1,0,1,-999.0,ag,110,sean,1,1.0,POINT (-95.97793633319054 40.38066440986288),GREAT PLAINS,likely stable croplands,-999.0
4868,"[-101.12851684621823, 33.77589111490251]",1996,0,0,1,-999.0,na,110,sean,0,1.0,POINT (-101.12851684621823 33.77589111490251),GREAT PLAINS,likely stable croplands,-999.0
15484,"[-106.6043773236256, 43.960630480136]",1996,0,0,0,-999.0,na,410,sean,0,4.0000000001,POINT (-106.6043773236256 43.960630480136),GREAT PLAINS,likely non-cropland,-999.0
11990,"[-100.54479157459737, 32.748577755983426]",1996,1,0,1,-999.0,ag,310,sean,1,3.0,POINT (-100.54479157459737 32.748577755983426),GREAT PLAINS,cropland loss,-999.0
18699,"[-99.38812081476507, 40.80188444658653]",1996,0,0,0,-999.0,ag,510,sean,1,5.0,POINT (-99.38812081476507 40.80188444658653),GREAT PLAINS,possible errors,-999.0
8529,"[-95.86663506948814, 47.61309059383756]",1996,0,0,0,-999.0,na,210,sean,0,2.0,POINT (-95.86663506948814 47.61309059383756),GREAT PLAINS,cropland gain,-999.0
15460,"[-100.5795563760928, 35.06757866193797]",1996,0,0,0,-999.0,na,410,sean,0,4.0000000001,POINT (-100.5795563760928 35.06757866193797),GREAT PLAINS,likely non-cropland,-999.0
